Name,Price(INR),Total-area,Sector,Furnishing,Parking,Bathroom,Society
"5 BHK Flat for Sale in Sector 48, Gurgaon",4.30 Cr,520 sqyrd,Gurgaon,Semi-Furnished,4,5,N/A
3 BHK Flat for Sale in Gurgaon,2.40 Cr,2150 sqft,N/A,Semi-Furnished,N/A,3,N/A
"5 BHK Flat for Sale in Luxurious Builder Floor, Sushant Lok 2 Sector 57, Gurgaon",4.10 Cr,3200 sqft,Sushant Lok 2 Sector 57,Semi-Furnished,N/A,5,Luxurious Builder Floor
"4 BHK Flat for Sale in Sector 57, Gurgaon",3.60 Cr,2400 sqft,Gurgaon,Unfurnished,2,5,N/A
"3 BHK Flat for Sale in Parsvnath Green Ville, Sohna Gurgaon Road, Gurgaon",2 Cr,2000 sqft,Sohna Gurgaon Road,Semi-Furnished,2,3,Parsvnath Green Ville
"4 BHK Flat for Sale in RWA Builder Floor, Phase 2 DLF, Gurgaon",4.90 Cr,3000 sqft,Phase 2 DLF,Semi-Furnished,2,4,RWA Builder Floor
"2 BHK Flat for Sale in M3M Capital, Sector 113, Gurgaon",1.65 Cr,1310 sqft,Sector 113,Semi-Furnished,1,2,M3M Capital
"2 BHK Flat for Sale in Signature Global City 37D, Sector 37D, Delhi Gurgaon Expressway, Gurgaon",79.6 Lac,990 sqft,Sector 37D,Unfurnished,1,2,Signature Global City 37D
"4 BHK Flat for Sale in Block B Sushant Lok Phase I, Gurgaon",3.15 Cr,2700 sqft,Gurgaon,Unfurnished,2,4,N/A
"2 BHK Flat for Sale in Ireo Victory Valley, Sector 67, Gurgaon",2.10 Cr,1120 sqft,Sector 67,Furnished,N/A,2,Ireo Victory Valley
"2 BHK Flat for Sale in Ambience Creacions, Sector 22, Gurgaon",1.98 Cr,1000 sqft,Sector 22,Semi-Furnished,1,2,Ambience Creacions
"4 BHK Flat for Sale in Kibithu Villas, Sector 48, Gurgaon",3.15 Cr,2800 sqft,Sector 48,Semi-Furnished,2,4,Kibithu Villas
"4 BHK Flat for Sale in Central Park The Orchard, Sector 32 Sohna, Gurgaon",7.50 Cr,2671 sqft,Sector 32 Sohna,Semi-Furnished,2,5,Central Park The Orchard
1 BHK Villa for Sale in Badshahpur Sohna Road Highway Gurgaon,12.50 Cr,350 sqyrd,N/A,Semi-Furnished,3,7,N/A
"4 BHK Flat for Sale in Phase 4 DLF, Gurgaon",4.45 Cr,3800 sqft,Gurgaon,Semi-Furnished,3,5,N/A
"3 BHK Flat for Sale in Sector 83, Gurgaon",1.57 Cr,1400 sqft,Gurgaon,Semi-Furnished,1,3,N/A
"4 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",6.10 Cr,3251 sqft,Sector 76,Furnished,3,4,Whiteland The ASPEN
"3 BHK Flat for Sale in Signature Global City 93, Sector 93, Gurgaon",1.20 Cr,1600 sqft,Sector 93,Semi-Furnished,1,3,Signature Global City 93
"4 BHK Flat for Sale in Samsara Avasa, Sector 63, Gurgaon",3.60 Cr,1367 sqft,Sector 63,Unfurnished,1,4,Samsara Avasa
